"name1","name2","similarity"
"Webb, James Henry Jr.", "Walker, Scott", "1.66666666667"
"Webb, James Henry Jr.", "Christie, Christopher J.", "1.66666666667"
"Webb, James Henry Jr.", "Kasich, John R.", "1.66666666667"
"Webb, James Henry Jr.", "Gilmore, James S IIII", "2.0"
"Webb, James Henry Jr.", "Lessig, Lawrence", "1.5"
"Webb, James Henry Jr.", "Johnson, Gary", "1.0"
"Fiorina, Carly", "Huckabee, Mike", "1.0"
"Fiorina, Carly", "Santorum, Richard J.", "2.45454545455"
"Fiorina, Carly", "O'Malley, Martin Joseph", "2.90909090909"
"Fiorina, Carly", "Jindal, Bobby", "0.777777777778"
"Fiorina, Carly", "Sanders, Bernard", "3.72727272727"
"Fiorina, Carly", "Pataki, George E.", "1.36363636364"
"Fiorina, Carly", "Perry, James R. (Rick)", "1.22222222222"
"Fiorina, Carly", "Bush, Jeb", "1.09090909091"
"Fiorina, Carly", "Trump, Donald J.", "0.545454545455"
"Fiorina, Carly", "Stein, Jill", "0.0"
"Fiorina, Carly", "Walker, Scott", "1.33333333333"
"Fiorina, Carly", "Christie, Christopher J.", "1.09090909091"
"Fiorina, Carly", "Kasich, John R.", "0.909090909091"
"Fiorina, Carly", "Gilmore, James S IIII", "1.0"
"Fiorina, Carly", "Lessig, Lawrence", "2.5"
"Fiorina, Carly", "Johnson, Gary", "1.0"
"Huckabee, Mike", "Santorum, Richard J.", "1.81818181818"
"Huckabee, Mike", "O'Malley, Martin Joseph", "2.45454545455"
"Huckabee, Mike", "Jindal, Bobby", "1.0"
"Huckabee, Mike", "Sanders, Bernard", "2.90909090909"
"Huckabee, Mike", "Pataki, George E.", "1.09090909091"
"Huckabee, Mike", "Perry, James R. (Rick)", "1.22222222222"
"Huckabee, Mike", "Bush, Jeb", "1.36363636364"
"Huckabee, Mike", "Trump, Donald J.", "1.18181818182"
"Huckabee, Mike", "Stein, Jill", "0.0"
"Huckabee, Mike", "Walker, Scott", "1.33333333333"
"Huckabee, Mike", "Christie, Christopher J.", "1.18181818182"
"Huckabee, Mike", "Kasich, John R.", "1.0"
"Huckabee, Mike", "Gilmore, James S IIII", "1.0"
"Huckabee, Mike", "Lessig, Lawrence", "2.0"
"Huckabee, Mike", "Johnson, Gary", "1.0"
"Santorum, Richard J.", "O'Malley, Martin Joseph", "1.54545454545"
"Santorum, Richard J.", "Jindal, Bobby", "2.22222222222"
"Santorum, Richard J.", "Sanders, Bernard", "1.81818181818"
"Santorum, Richard J.", "Pataki, George E.", "2.18181818182"
"Santorum, Richard J.", "Perry, James R. (Rick)", "2.0"
"Santorum, Richard J.", "Bush, Jeb", "1.90909090909"
"Santorum, Richard J.", "Trump, Donald J.", "2.81818181818"
"Santorum, Richard J.", "Stein, Jill", "3.0"
"Santorum, Richard J.", "Walker, Scott", "1.66666666667"
"Santorum, Richard J.", "Christie, Christopher J.", "1.72727272727"
"Santorum, Richard J.", "Kasich, John R.", "2.09090909091"
"Santorum, Richard J.", "Gilmore, James S IIII", "2.25"
